Direction,N,NNE,ENE,E,ESE,SSE,S,SSW,WSW,W,WNW,NNW,Omni
Degrees,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°,
SpeedBin,,,,,,,,,,,,,
0.0-0.05,0.14,0.4,0.65,3.95,1.7,0.51,0.4,0.65,1.01,5.11,2.43,0.33,17.28
0.05-0.1,0.0,0.0,0.0,5.87,1.2,0.0,0.0,0.0,0.04,11.99,0.04,0.0,19.14
0.1-0.15,0.0,0.0,0.0,6.45,0.0,0.0,0.0,0.0,0.0,13.95,0.0,0.0,20.4
0.15-0.2,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,15.14,0.0,0.0,19.34
0.2-0.25,0.0,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,12.46,0.0,0.0,14.02
0.25-0.3,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,7.75,0.0,0.0,8.26
0.3-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.0,0.0,1.49
0.35-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04
0.4-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04
Total,0.14,0.4,0.65,22.54,2.9,0.51,0.4,0.65,1.05,67.97,2.47,0.33,100.01
Mean,0.02,0.04,0.07,2.5,0.32,0.06,0.04,0.07,0.12,7.55,0.27,0.04,11.11
Maximum,0.14,0.4,0.65,6.45,1.7,0.51,0.4,0.65,1.01,15.14,2.43,0.33,20.4
