Direction,N,NNE,ENE,E,ESE,SSE,S,SSW,WSW,W,WNW,NNW,Omni
Degrees,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°,
SpeedBin,,,,,,,,,,,,,
0.0-0.05,0.18,0.18,0.84,4.03,1.39,0.48,0.15,0.04,0.99,4.58,2.42,0.44,15.72
0.05-0.1,0.0,0.0,0.0,4.8,1.06,0.0,0.0,0.0,0.0,10.81,0.0,0.0,16.67
0.1-0.15,0.0,0.0,0.0,3.74,0.0,0.0,0.0,0.0,0.0,12.45,0.0,0.0,16.19
0.15-0.2,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,14.18,0.0,0.0,16.38
0.2-0.25,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,14.47,0.0,0.0,15.28
0.25-0.3,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,13.81,0.0,0.0,13.99
0.3-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95,0.0,0.0,4.95
0.35-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.84
Total,0.18,0.18,0.84,15.76,2.45,0.48,0.15,0.04,0.99,76.09,2.42,0.44,100.02
Mean,0.02,0.02,0.1,1.97,0.31,0.06,0.02,0.0,0.12,9.51,0.3,0.06,12.5
Maximum,0.18,0.18,0.84,4.8,1.39,0.48,0.15,0.04,0.99,14.47,2.42,0.44,16.67
