Direction,N,NNE,ENE,E,ESE,SSE,S,SSW,WSW,W,WNW,NNW,Omni
Degrees,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°,
SpeedBin,,,,,,,,,,,,,
0.0-0.05,0.33,0.38,1.06,4.23,1.52,0.45,0.25,0.36,0.93,4.86,2.76,0.47,17.6
0.05-0.1,0.0,0.0,0.0,5.42,0.92,0.0,0.0,0.0,0.02,12.55,0.07,0.0,18.98
0.1-0.15,0.0,0.0,0.0,4.5,0.01,0.0,0.0,0.0,0.0,15.3,0.0,0.0,19.81
0.15-0.2,0.0,0.0,0.0,2.68,0.0,0.0,0.0,0.0,0.0,16.75,0.0,0.0,19.43
0.2-0.25,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,13.11,0.0,0.0,14.07
0.25-0.3,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,7.66,0.0,0.0,7.92
0.3-0.35,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.93,0.0,0.0,1.94
0.35-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.26
0.4-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01
Total,0.33,0.38,1.06,18.06,2.45,0.45,0.25,0.36,0.95,72.43,2.83,0.47,100.02
Mean,0.04,0.04,0.12,2.01,0.27,0.05,0.03,0.04,0.11,8.05,0.31,0.05,11.11
Maximum,0.33,0.38,1.06,5.42,1.52,0.45,0.25,0.36,0.93,16.75,2.76,0.47,19.81
