Direction,N,NNE,ENE,E,ESE,SSE,S,SSW,WSW,W,WNW,NNW,Omni
Degrees,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°,
SpeedBin,,,,,,,,,,,,,
0.0-0.05,0.8,0.76,1.88,4.13,1.59,0.43,0.22,0.43,0.87,3.48,4.13,0.72,19.44
0.05-0.1,0.0,0.0,0.0,5.8,0.72,0.0,0.0,0.0,0.0,11.78,1.59,0.0,19.89
0.1-0.15,0.0,0.0,0.0,4.64,0.07,0.0,0.0,0.0,0.0,16.63,0.18,0.0,21.52
0.15-0.2,0.0,0.0,0.0,2.79,0.0,0.0,0.0,0.0,0.0,15.51,0.07,0.0,18.37
0.2-0.25,0.0,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,12.28,0.0,0.0,13.77
0.25-0.3,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,5.07,0.0,0.0,5.5
0.3-0.35,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.34
0.35-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.14
Total,0.8,0.76,1.88,19.32,2.38,0.43,0.22,0.43,0.87,66.19,5.97,0.72,99.97
Mean,0.1,0.1,0.24,2.42,0.3,0.05,0.03,0.05,0.11,8.27,0.75,0.09,12.5
Maximum,0.8,0.76,1.88,5.8,1.59,0.43,0.22,0.43,0.87,16.63,4.13,0.72,21.52
