Direction,N,NNE,ENE,E,ESE,SSE,S,SSW,WSW,W,WNW,NNW,Omni
Degrees,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°,
SpeedBin,,,,,,,,,,,,,
0.0-0.05,0.55,0.85,1.85,2.66,0.78,0.26,0.26,0.11,0.52,1.63,3.84,1.7,15.01
0.05-0.1,0.0,0.0,0.18,4.77,0.63,0.0,0.0,0.0,0.0,8.61,3.69,0.11,17.99
0.1-0.15,0.0,0.0,0.0,3.29,0.18,0.0,0.0,0.0,0.0,13.89,0.74,0.0,18.1
0.15-0.2,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.0,0.0,16.11,0.15,0.0,18.29
0.2-0.25,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,16.4,0.07,0.0,17.21
0.25-0.3,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,9.27,0.0,0.0,9.45
0.3-0.35,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,3.47
0.35-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.48
Total,0.55,0.85,2.03,13.74,1.59,0.26,0.26,0.11,0.52,69.79,8.49,1.81,100.0
Mean,0.07,0.11,0.25,1.72,0.2,0.03,0.03,0.01,0.06,8.72,1.06,0.23,12.5
Maximum,0.55,0.85,1.85,4.77,0.78,0.26,0.26,0.11,0.52,16.4,3.84,1.7,18.29
