Direction,N,NNE,ENE,E,ESE,SSE,S,SSW,WSW,W,WNW,NNW,Omni
Degrees,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°,
SpeedBin,,,,,,,,,,,,,
0.0-0.05,3.3,0.62,0.62,0.18,0.47,2.17,4.71,0.94,0.58,0.47,0.47,1.78,16.31
0.05-0.1,5.33,0.0,0.0,0.0,0.0,0.0,10.94,0.04,0.0,0.0,0.0,1.41,17.72
0.1-0.15,5.91,0.0,0.0,0.0,0.0,0.0,12.28,0.0,0.0,0.0,0.0,0.43,18.62
0.15-0.2,4.38,0.0,0.0,0.0,0.0,0.0,13.33,0.0,0.0,0.0,0.0,0.0,17.71
0.2-0.25,1.99,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,0.0,0.0,0.0,16.19
0.25-0.3,0.72,0.0,0.0,0.0,0.0,0.0,8.51,0.0,0.0,0.0,0.0,0.0,9.23
0.3-0.35,0.11,0.0,0.0,0.0,0.0,0.0,3.84,0.0,0.0,0.0,0.0,0.0,3.95
0.35-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.22
0.4-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04
Total,21.74,0.62,0.62,0.18,0.47,2.17,68.07,0.98,0.58,0.47,0.47,3.62,99.99
Mean,2.42,0.07,0.07,0.02,0.05,0.24,7.56,0.11,0.06,0.05,0.05,0.4,11.11
Maximum,5.91,0.62,0.62,0.18,0.47,2.17,14.2,0.94,0.58,0.47,0.47,1.78,18.62
