Direction,N,NNE,ENE,E,ESE,SSE,S,SSW,WSW,W,WNW,NNW,Omni
Degrees,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°,
SpeedBin,,,,,,,,,,,,,
0.0-0.05,2.75,0.66,0.29,0.15,0.29,2.38,3.81,1.17,0.66,0.26,0.59,1.87,14.88
0.05-0.1,4.03,0.04,0.0,0.0,0.0,0.26,9.19,0.11,0.0,0.0,0.0,1.61,15.24
0.1-0.15,3.55,0.0,0.0,0.0,0.0,0.04,10.37,0.0,0.0,0.0,0.0,0.22,14.18
0.15-0.2,2.64,0.0,0.0,0.0,0.0,0.0,12.31,0.0,0.0,0.0,0.0,0.04,14.99
0.2-0.25,1.14,0.0,0.0,0.0,0.0,0.0,12.45,0.0,0.0,0.0,0.0,0.0,13.59
0.25-0.3,0.4,0.0,0.0,0.0,0.0,0.0,14.14,0.0,0.0,0.0,0.0,0.0,14.54
0.3-0.35,0.0,0.0,0.0,0.0,0.0,0.0,9.82,0.0,0.0,0.0,0.0,0.0,9.82
0.35-0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.64,0.0,0.0,0.0,0.0,0.0,2.64
0.4-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15
Total,14.51,0.7,0.29,0.15,0.29,2.68,74.88,1.28,0.66,0.26,0.59,3.74,100.03
Mean,1.61,0.08,0.03,0.02,0.03,0.3,8.32,0.14,0.07,0.03,0.07,0.42,11.11
Maximum,4.03,0.66,0.29,0.15,0.29,2.38,14.14,1.17,0.66,0.26,0.59,1.87,15.24
