Direction,N,NNE,ENE,E,ESE,SSE,S,SSW,WSW,W,WNW,NNW,Omni
Degrees,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°,
SpeedBin,,,,,,,,,,,,,
0.0-0.05,3.21,1.24,0.64,0.42,0.76,3.17,3.41,0.87,0.46,0.3,0.44,1.51,16.43
0.05-0.1,4.98,0.05,0.0,0.0,0.02,1.39,10.14,0.04,0.0,0.0,0.0,1.1,17.72
0.1-0.15,4.35,0.0,0.0,0.0,0.0,0.24,13.3,0.0,0.0,0.0,0.0,0.23,18.12
0.15-0.2,2.97,0.0,0.0,0.0,0.0,0.05,14.31,0.0,0.0,0.0,0.0,0.01,17.34
0.2-0.25,1.34,0.0,0.0,0.0,0.0,0.02,13.83,0.0,0.0,0.0,0.0,0.0,15.19
0.25-0.3,0.44,0.0,0.0,0.0,0.0,0.0,9.24,0.0,0.0,0.0,0.0,0.0,9.68
0.3-0.35,0.05,0.0,0.0,0.0,0.0,0.0,4.58,0.0,0.0,0.0,0.0,0.0,4.63
0.35-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.87
0.4-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05
Total,17.34,1.29,0.64,0.42,0.78,4.87,69.73,0.91,0.46,0.3,0.44,2.85,100.03
Mean,1.93,0.14,0.07,0.05,0.09,0.54,7.75,0.1,0.05,0.03,0.05,0.32,11.11
Maximum,4.98,1.24,0.64,0.42,0.76,3.17,14.31,0.87,0.46,0.3,0.44,1.51,18.12
