Direction,N,NNE,ENE,E,ESE,SSE,S,SSW,WSW,W,WNW,NNW,Omni
Degrees,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°,
SpeedBin,,,,,,,,,,,,,
0.0-0.05,0.15,0.26,0.7,2.75,1.83,0.62,0.26,0.66,1.17,3.81,2.38,0.29,14.88
0.05-0.1,0.0,0.0,0.04,4.03,1.61,0.0,0.0,0.0,0.11,9.19,0.26,0.0,15.24
0.1-0.15,0.0,0.0,0.0,3.55,0.22,0.0,0.0,0.0,0.0,10.37,0.04,0.0,14.18
0.15-0.2,0.0,0.0,0.0,2.64,0.04,0.0,0.0,0.0,0.0,12.31,0.0,0.0,14.99
0.2-0.25,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,12.45,0.0,0.0,13.59
0.25-0.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,14.14,0.0,0.0,14.54
0.3-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.82,0.0,0.0,9.82
0.35-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64,0.0,0.0,2.64
0.4-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15
Total,0.15,0.26,0.74,14.51,3.7,0.62,0.26,0.66,1.28,74.88,2.68,0.29,100.03
Mean,0.02,0.03,0.08,1.61,0.41,0.07,0.03,0.07,0.14,8.32,0.3,0.03,11.11
Maximum,0.15,0.26,0.7,4.03,1.83,0.62,0.26,0.66,1.17,14.14,2.38,0.29,15.24
