Direction,N,NNE,ENE,E,ESE,SSE,S,SSW,WSW,W,WNW,NNW,Omni
Degrees,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°,
SpeedBin,,,,,,,,,,,,,
0.0-0.05,0.42,0.61,1.27,3.21,1.48,0.47,0.3,0.44,0.89,3.41,3.1,0.82,16.42
0.05-0.1,0.0,0.0,0.05,4.98,1.1,0.0,0.0,0.0,0.04,10.14,1.38,0.03,17.72
0.1-0.15,0.0,0.0,0.0,4.35,0.23,0.0,0.0,0.0,0.0,13.3,0.24,0.0,18.12
0.15-0.2,0.0,0.0,0.0,2.97,0.01,0.0,0.0,0.0,0.0,14.31,0.05,0.0,17.34
0.2-0.25,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,13.83,0.02,0.0,15.19
0.25-0.3,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,9.24,0.0,0.0,9.68
0.3-0.35,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4.58,0.0,0.0,4.63
0.35-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.87
0.4-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05
Total,0.42,0.61,1.32,17.34,2.82,0.47,0.3,0.44,0.93,69.73,4.79,0.85,100.02
Mean,0.05,0.07,0.15,1.93,0.31,0.05,0.03,0.05,0.1,7.75,0.53,0.09,11.11
Maximum,0.42,0.61,1.27,4.98,1.48,0.47,0.3,0.44,0.89,14.31,3.1,0.82,18.12
