Direction,N,NNE,ENE,E,ESE,SSE,S,SSW,WSW,W,WNW,NNW,Omni
Degrees,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°,
SpeedBin,,,,,,,,,,,,,
0.0-0.05,4.23,1.05,0.39,0.33,0.47,2.76,4.86,0.89,0.39,0.25,0.37,1.61,17.6
0.05-0.1,5.42,0.0,0.0,0.0,0.0,0.07,12.55,0.02,0.0,0.0,0.0,0.92,18.98
0.1-0.15,4.5,0.0,0.0,0.0,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.01,19.81
0.15-0.2,2.68,0.0,0.0,0.0,0.0,0.0,16.75,0.0,0.0,0.0,0.0,0.0,19.43
0.2-0.25,0.96,0.0,0.0,0.0,0.0,0.0,13.11,0.0,0.0,0.0,0.0,0.0,14.07
0.25-0.3,0.26,0.0,0.0,0.0,0.0,0.0,7.66,0.0,0.0,0.0,0.0,0.0,7.92
0.3-0.35,0.01,0.0,0.0,0.0,0.0,0.0,1.93,0.0,0.0,0.0,0.0,0.0,1.94
0.35-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.26
0.4-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01
Total,18.06,1.05,0.39,0.33,0.47,2.83,72.43,0.91,0.39,0.25,0.37,2.54,100.02
Mean,2.01,0.12,0.04,0.04,0.05,0.31,8.05,0.1,0.04,0.03,0.04,0.28,11.11
Maximum,5.42,1.05,0.39,0.33,0.47,2.76,16.75,0.89,0.39,0.25,0.37,1.61,19.81
