Direction,N,NNE,ENE,E,ESE,SSE,S,SSW,WSW,W,WNW,NNW,Omni
Degrees,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°,
SpeedBin,,,,,,,,,,,,,
0.0-0.05,3.77,1.55,0.37,0.63,0.52,3.69,3.92,0.48,0.22,0.07,0.18,1.11,16.51
0.05-0.1,5.17,0.0,0.0,0.0,0.0,0.22,13.22,0.04,0.0,0.0,0.0,0.66,19.31
0.1-0.15,3.32,0.0,0.0,0.0,0.0,0.0,17.14,0.0,0.0,0.0,0.0,0.0,20.46
0.15-0.2,1.81,0.0,0.0,0.0,0.0,0.0,19.65,0.0,0.0,0.0,0.0,0.0,21.46
0.2-0.25,0.33,0.0,0.0,0.0,0.0,0.0,14.85,0.0,0.0,0.0,0.0,0.0,15.18
0.25-0.3,0.11,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,5.91
0.3-0.35,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,1.07
0.35-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.07
Total,14.51,1.55,0.37,0.63,0.52,3.91,75.72,0.52,0.22,0.07,0.18,1.77,99.97
Mean,1.81,0.19,0.05,0.08,0.06,0.49,9.46,0.06,0.03,0.01,0.02,0.22,12.5
Maximum,5.17,1.55,0.37,0.63,0.52,3.69,19.65,0.48,0.22,0.07,0.18,1.11,21.46
