Direction,N,NNE,ENE,E,ESE,SSE,S,SSW,WSW,W,WNW,NNW,Omni
Degrees,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°,
SpeedBin,,,,,,,,,,,,,
0.0-0.05,0.36,0.58,1.2,5.14,1.99,0.51,0.36,0.51,1.23,5.8,2.5,0.62,20.8
0.05-0.1,0.0,0.0,0.0,5.83,0.76,0.0,0.0,0.0,0.0,14.17,0.04,0.0,20.8
0.1-0.15,0.0,0.0,0.0,4.46,0.04,0.0,0.0,0.0,0.0,17.64,0.0,0.0,22.14
0.15-0.2,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,18.04,0.0,0.0,20.54
0.2-0.25,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,10.72,0.0,0.0,11.84
0.25-0.3,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,3.55
0.3-0.35,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.26
0.35-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.07
Total,0.36,0.58,1.2,19.34,2.79,0.51,0.36,0.51,1.23,69.96,2.54,0.62,100.0
Mean,0.04,0.07,0.15,2.42,0.35,0.06,0.04,0.06,0.15,8.74,0.32,0.08,12.5
Maximum,0.36,0.58,1.2,5.83,1.99,0.51,0.36,0.51,1.23,18.04,2.5,0.62,22.14
