Direction,N,NNE,ENE,E,ESE,SSE,S,SSW,WSW,W,WNW,NNW,Omni
Degrees,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°,
SpeedBin,,,,,,,,,,,,,
0.0-0.05,3.95,0.65,0.4,0.14,0.33,2.43,5.11,0.98,0.69,0.4,0.4,1.81,17.29
0.05-0.1,5.87,0.0,0.0,0.0,0.0,0.04,11.99,0.04,0.0,0.0,0.0,1.2,19.14
0.1-0.15,6.45,0.0,0.0,0.0,0.0,0.0,13.95,0.0,0.0,0.0,0.0,0.0,20.4
0.15-0.2,4.2,0.0,0.0,0.0,0.0,0.0,15.14,0.0,0.0,0.0,0.0,0.0,19.34
0.2-0.25,1.56,0.0,0.0,0.0,0.0,0.0,12.46,0.0,0.0,0.0,0.0,0.0,14.02
0.25-0.3,0.51,0.0,0.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,0.0,0.0,8.26
0.3-0.35,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,1.49
0.35-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04
0.4-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04
Total,22.54,0.65,0.4,0.14,0.33,2.47,67.97,1.02,0.69,0.4,0.4,3.01,100.02
Mean,2.5,0.07,0.04,0.02,0.04,0.27,7.55,0.11,0.08,0.04,0.04,0.33,11.11
Maximum,6.45,0.65,0.4,0.14,0.33,2.43,15.14,0.98,0.69,0.4,0.4,1.81,20.4
