Direction,N,NNE,ENE,E,ESE,SSE,S,SSW,WSW,W,WNW,NNW,Omni
Degrees,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°,
SpeedBin,,,,,,,,,,,,,
0.0-0.05,4.14,0.77,0.33,0.15,0.55,1.68,5.79,1.28,0.18,0.37,0.44,1.94,17.62
0.05-0.1,5.24,0.0,0.0,0.0,0.0,0.07,12.75,0.0,0.0,0.0,0.0,0.92,18.98
0.1-0.15,3.81,0.0,0.0,0.0,0.0,0.0,14.98,0.0,0.0,0.0,0.0,0.04,18.83
0.15-0.2,1.47,0.0,0.0,0.0,0.0,0.0,17.22,0.0,0.0,0.0,0.0,0.0,18.69
0.2-0.25,0.4,0.0,0.0,0.0,0.0,0.0,15.97,0.0,0.0,0.0,0.0,0.0,16.37
0.25-0.3,0.04,0.0,0.0,0.0,0.0,0.0,7.99,0.0,0.0,0.0,0.0,0.0,8.03
0.3-0.35,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,1.47
0.35-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04
Total,15.1,0.77,0.33,0.15,0.55,1.75,76.21,1.28,0.18,0.37,0.44,2.9,100.03
Mean,1.89,0.1,0.04,0.02,0.07,0.22,9.53,0.16,0.02,0.05,0.06,0.36,12.5
Maximum,5.24,0.77,0.33,0.15,0.55,1.68,17.22,1.28,0.18,0.37,0.44,1.94,18.98
