Direction,N,NNE,ENE,E,ESE,SSE,S,SSW,WSW,W,WNW,NNW,Omni
Degrees,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°,
SpeedBin,,,,,,,,,,,,,
0.0-0.05,4.65,0.44,0.22,0.11,0.18,1.11,6.8,1.92,0.48,0.3,0.44,2.29,18.94
0.05-0.1,4.88,0.0,0.0,0.0,0.0,0.0,16.25,0.37,0.0,0.0,0.0,1.11,22.61
0.1-0.15,3.29,0.0,0.0,0.0,0.0,0.0,21.91,0.0,0.0,0.0,0.0,0.07,25.27
0.15-0.2,0.63,0.0,0.0,0.0,0.0,0.0,21.24,0.0,0.0,0.0,0.0,0.0,21.87
0.2-0.25,0.18,0.0,0.0,0.0,0.0,0.0,9.24,0.0,0.0,0.0,0.0,0.0,9.42
0.25-0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,1.81
0.3-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.07
Total,13.63,0.44,0.22,0.11,0.18,1.11,77.32,2.29,0.48,0.3,0.44,3.47,99.99
Mean,1.95,0.06,0.03,0.02,0.03,0.16,11.05,0.33,0.07,0.04,0.06,0.5,14.28
Maximum,4.88,0.44,0.22,0.11,0.18,1.11,21.91,1.92,0.48,0.3,0.44,2.29,25.27
