Direction,N,NNE,ENE,E,ESE,SSE,S,SSW,WSW,W,WNW,NNW,Omni
Degrees,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°,
SpeedBin,,,,,,,,,,,,,
0.0-0.05,5.11,0.36,0.11,0.25,0.25,0.98,8.04,1.85,0.91,0.54,1.12,2.75,22.27
0.05-0.1,6.27,0.0,0.0,0.0,0.0,0.0,16.96,0.07,0.0,0.0,0.0,0.94,24.24
0.1-0.15,4.35,0.0,0.0,0.0,0.0,0.0,21.59,0.0,0.0,0.0,0.0,0.04,25.98
0.15-0.2,2.1,0.0,0.0,0.0,0.0,0.0,17.75,0.0,0.0,0.0,0.0,0.0,19.85
0.2-0.25,0.54,0.0,0.0,0.0,0.0,0.0,6.52,0.0,0.0,0.0,0.0,0.0,7.06
0.25-0.3,0.04,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.51
0.3-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.07
Total,18.41,0.36,0.11,0.25,0.25,0.98,71.4,1.92,0.91,0.54,1.12,3.73,99.98
Mean,2.63,0.05,0.02,0.04,0.04,0.14,10.2,0.27,0.13,0.08,0.16,0.53,14.28
Maximum,6.27,0.36,0.11,0.25,0.25,0.98,21.59,1.85,0.91,0.54,1.12,2.75,25.98
