Metadados:
Rio Grande Coordenadas (Lat, Lon): -32.0236, -52.1056
Tramandai Coordenadas (Lat, Lon): -30.005, -50.1289
Delta X: 0.100006103515625, Delta Y: 0.09999847412109375

Dados:
data,ponto_0,ponto_1,ponto_2,ponto_3,ponto_4,ponto_5
2002-01-01 12:00:00,,-0.08697775,-0.08545183,-0.08239998,-0.080568865,-0.073549606
2002-01-02 12:00:00,,-0.039063692,-0.041810356,-0.043031096,-0.045167394,-0.042725913
2002-01-03 12:00:00,,0.014648885,0.0003051851,-0.007934812,-0.014648885,-0.016479995
2002-01-04 12:00:00,,0.05157628,0.031434067,0.019531846,0.009765923,0.0051881466
2002-01-05 12:00:00,,0.025025178,0.010376293,0.0006103702,-0.006714072,-0.010071108
2002-01-06 12:00:00,,-0.17700735,-0.15717033,-0.14069033,-0.12665181,-0.111087374
2002-01-07 12:00:00,,-0.15228736,-0.14709921,-0.13489181,-0.12237922,-0.10711997
2002-01-08 12:00:00,,-0.0006103702,-0.008850368,-0.013733329,-0.015869625,-0.015259255
2002-01-09 12:00:00,,-0.026551103,-0.03051851,-0.02990814,-0.026551103,-0.020752586
2002-01-10 12:00:00,,-0.0015259255,-0.011902219,-0.01617481,-0.015869625,-0.012207404
2002-01-11 12:00:00,,-0.1760918,-0.16418958,-0.14679404,-0.12573627,-0.10132145
2002-01-12 12:00:00,,-0.1864681,-0.17761773,-0.16296884,-0.14252144,-0.11658071
2002-01-13 12:00:00,,-0.1864681,-0.17181921,-0.15259254,-0.13183996,-0.10773034
2002-01-14 12:00:00,,-0.1208533,-0.115970336,-0.10071108,-0.08239998,-0.06256294
2002-01-15 12:00:00,,0.33051544,0.2722251,0.23224586,0.20111698,0.16968292
2002-01-16 12:00:00,,0.1513718,0.11383404,0.087588124,0.071108125,0.057069615
2002-01-17 12:00:00,,0.08117923,0.046388134,0.019531846,0.0045777764,-0.0009155553
2002-01-18 12:00:00,,0.0021362957,-0.014038514,-0.028077029,-0.036927395,-0.03753777
2002-01-19 12:00:00,,-0.03875851,-0.04364147,-0.05157628,-0.056764428,-0.054322947
2002-01-20 12:00:00,,-0.11444441,-0.10589923,-0.099490345,-0.09277627,-0.079348125
2002-01-21 12:00:00,,-0.020447401,-0.020142216,-0.019531846,-0.018921476,-0.012512589
2002-01-22 12:00:00,,0.06042665,0.056154057,0.0491348,0.041810356,0.03753777
2002-01-23 12:00:00,,0.0009155553,-0.007934812,-0.012817774,-0.014648885,-0.009765923
2002-01-24 12:00:00,,0.04242073,0.024719993,0.011902219,0.0048829615,0.0054933317
2002-01-25 12:00:00,,-0.07904294,-0.073549606,-0.0695822,-0.06378368,-0.05157628
2002-01-26 12:00:00,,-0.14160588,-0.13611256,-0.124210335,-0.10864589,-0.08514664
2002-01-27 12:00:00,,-0.023194067,-0.029602954,-0.03234962,-0.02929777,-0.018311106
2002-01-28 12:00:00,,-0.05859554,-0.055848874,-0.050965913,-0.04242073,-0.026856288
2002-01-29 12:00:00,,0.056764428,0.036927395,0.024719993,0.021668142,0.027771844
2002-01-30 12:00:00,,0.0051881466,-0.0003051851,-0.0036622211,-0.0021362957,0.006714072
2002-01-31 12:00:00,,-0.16113773,-0.13855404,-0.1208533,-0.102847375,-0.07751702
