Metadados:
Rio Grande Coordenadas (Lat, Lon): -32.0236, -52.1056
Tramandai Coordenadas (Lat, Lon): -30.005, -50.1289
Delta X: 0.100006103515625, Delta Y: 0.09999847412109375

Dados:
data,ponto_0,ponto_1,ponto_2,ponto_3,ponto_4,ponto_5
2002-01-01 12:00:00,,-0.13702811,-0.13855404,-0.14069033,-0.13428144,-0.11566515
2002-01-02 12:00:00,,-0.04730369,-0.06042665,-0.07843257,-0.08728294,-0.08087405
2002-01-03 12:00:00,,0.079348125,0.05859554,0.027161473,0.0027466659,-0.008545183
2002-01-04 12:00:00,,0.09186071,0.070192575,0.038453322,0.010071108,-0.008545183
2002-01-05 12:00:00,,0.11322367,0.09399701,0.06317332,0.03357036,0.012207404
2002-01-06 12:00:00,,-0.24719992,-0.23651844,-0.22400586,-0.20172735,-0.17700735
2002-01-07 12:00:00,,-0.109866634,-0.12024292,-0.13061923,-0.12787256,-0.11535996
2002-01-08 12:00:00,,-0.01800592,-0.032654807,-0.057069615,-0.07324442,-0.07904294
2002-01-09 12:00:00,,0.0799585,0.05859554,0.027161473,0.0021362957,-0.014343699
2002-01-10 12:00:00,,-0.05981628,-0.06622516,-0.080568865,-0.09063997,-0.09521775
2002-01-11 12:00:00,,-0.25635546,-0.25025177,-0.24231696,-0.22217475,-0.19684438
2002-01-12 12:00:00,,-0.24414808,-0.23773919,-0.23102511,-0.21301919,-0.1861629
2002-01-13 12:00:00,,-0.27527696,-0.2661214,-0.25513473,-0.23316142,-0.20172735
2002-01-14 12:00:00,,0.20081179,0.1638844,0.12451552,0.08850367,0.0634785
2002-01-15 12:00:00,,0.5139317,0.46632284,0.3927732,0.314951,0.24353771
2002-01-16 12:00:00,,0.1965392,0.17517625,0.14038515,0.10223701,0.06683554
2002-01-17 12:00:00,,0.053102206,0.042115543,0.023499252,0.003357036,-0.014343699
2002-01-18 12:00:00,,-0.0015259255,-0.007934812,-0.021668142,-0.0347911,-0.045472577
2002-01-19 12:00:00,,-0.08270516,-0.08117923,-0.087588124,-0.092471085,-0.09430219
2002-01-20 12:00:00,,-0.16937773,-0.16296884,-0.1574755,-0.14557329,-0.13183996
2002-01-21 12:00:00,,0.22003846,0.20416883,0.17548142,0.14374217,0.11627552
2002-01-22 12:00:00,,0.038453322,0.02929777,0.010681478,-0.007934812,-0.021973327
2002-01-23 12:00:00,,0.0982696,0.0839259,0.05920591,0.03540147,0.015869625
2002-01-24 12:00:00,,0.083010346,0.07049776,0.046388134,0.022583697,0.0027466659
2002-01-25 12:00:00,,-0.18402661,-0.17639698,-0.16968292,-0.15686513,-0.14282662
2002-01-26 12:00:00,,-0.11658071,-0.11749626,-0.11444441,-0.101626635,-0.08484146
2002-01-27 12:00:00,,-0.033875547,-0.036317028,-0.045472577,-0.049745172,-0.048219245
2002-01-28 12:00:00,,-0.046998505,-0.054933317,-0.064088866,-0.067751095,-0.0656148
2002-01-29 12:00:00,,0.11383404,0.09643849,0.06805628,0.040894803,0.01861629
2002-01-30 12:00:00,,0.081789605,0.06805628,0.042115543,0.016479995,-0.0051881466
2002-01-31 12:00:00,,-0.2682577,-0.2496414,-0.23102511,-0.20508438,-0.17914365
2002-02-01 12:00:00,,0.6485183,0.5899228,0.50660723,0.41047394,0.31678212
2002-02-02 12:00:00,,0.64607686,0.5926694,0.50447094,0.40070802,0.30060732
2002-02-03 12:00:00,,0.013733329,0.0112918485,0.0006103702,-0.018921476,-0.041505173
2002-02-04 12:00:00,,-0.18402661,-0.17151402,-0.15778069,-0.1431318,-0.13458663
2002-02-05 12:00:00,,0.22431104,0.20783105,0.18463698,0.15717033,0.12878811
2002-02-06 12:00:00,,0.1678518,0.15686513,0.13611256,0.10773034,0.0799585
