Direction,N,NNE,ENE,E,ESE,SSE,S,SSW,WSW,W,WNW,NNW,Omni
Degrees,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°,
SpeedBin,,,,,,,,,,,,,
0.0-0.05,0.15,0.29,0.81,4.14,1.9,0.48,0.37,0.15,1.32,5.79,1.68,0.55,17.63
0.05-0.1,0.0,0.0,0.0,5.24,0.92,0.0,0.0,0.0,0.0,12.75,0.07,0.0,18.98
0.1-0.15,0.0,0.0,0.0,3.81,0.04,0.0,0.0,0.0,0.0,14.98,0.0,0.0,18.83
0.15-0.2,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,17.22,0.0,0.0,18.69
0.2-0.25,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,15.97,0.0,0.0,16.37
0.25-0.3,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,7.99,0.0,0.0,8.03
0.3-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,1.47
0.35-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04
Total,0.15,0.29,0.81,15.1,2.86,0.48,0.37,0.15,1.32,76.21,1.75,0.55,100.04
Mean,0.02,0.04,0.1,1.89,0.36,0.06,0.05,0.02,0.16,9.53,0.22,0.07,12.5
Maximum,0.15,0.29,0.81,5.24,1.9,0.48,0.37,0.15,1.32,17.22,1.68,0.55,18.98
