Direction,N,NNE,ENE,E,ESE,SSE,S,SSW,WSW,W,WNW,NNW,Omni
Degrees,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°,
SpeedBin,,,,,,,,,,,,,
0.0-0.05,0.11,0.18,0.48,4.65,2.25,0.48,0.3,0.48,1.92,6.8,1.11,0.18,18.94
0.05-0.1,0.0,0.0,0.0,4.88,1.11,0.0,0.0,0.0,0.37,16.25,0.0,0.0,22.61
0.1-0.15,0.0,0.0,0.0,3.29,0.07,0.0,0.0,0.0,0.0,21.91,0.0,0.0,25.27
0.15-0.2,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,21.24,0.0,0.0,21.87
0.2-0.25,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,9.24,0.0,0.0,9.42
0.25-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.0,0.0,1.81
0.3-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.07
Total,0.11,0.18,0.48,13.63,3.43,0.48,0.3,0.48,2.29,77.32,1.11,0.18,99.99
Mean,0.02,0.03,0.07,1.95,0.49,0.07,0.04,0.07,0.33,11.05,0.16,0.03,14.28
Maximum,0.11,0.18,0.48,4.88,2.25,0.48,0.3,0.48,1.92,21.91,1.11,0.18,25.27
